mirror_config,target_name,model_name,accuracy,roc_auc,f1_score
oversampling_smote,Home Clean Sheet,Logistic Regression (Elastic Net),0.5698581560283688,0.6091807545749187,0.4308308700617134
oversampling_smote,Home Clean Sheet,Random Forest,0.6439716312056737,0.6018417785176464,0.3699891280859737
oversampling_smote,Home Clean Sheet,HistGradientBoosting (Early Stopping),0.5907801418439715,0.5955516256352646,0.4228486316257549
oversampling_smote,Home Clean Sheet,XGBoost (L1/L2 Regularized),0.6301418439716312,0.5927543517370936,0.3762204037702647
oversampling_smote,Home Clean Sheet,Neural Network (Dropout),0.6205673758865249,0.56598574414906,0.3352474237431323
undersampling_random,1X2 (Match Winner),Logistic Regression (Elastic Net),0.4875886524822695,0.0,0.4899967288225633
undersampling_random,1X2 (Match Winner),Random Forest,0.4698581560283688,0.0,0.4739956889404129
undersampling_random,1X2 (Match Winner),HistGradientBoosting (Early Stopping),0.4631205673758865,0.0,0.4681008582909338
undersampling_random,1X2 (Match Winner),XGBoost (L1/L2 Regularized),0.4531914893617021,0.0,0.4625381651309134
undersampling_random,1X2 (Match Winner),Neural Network (Dropout),0.4283687943262411,0.0,0.4375001015952974
undersampling_random,Double Chance 1X (Home or Draw),Logistic Regression (Elastic Net),0.6624113475177305,0.7136171366668653,0.7300764268409401
undersampling_random,Double Chance 1X (Home or Draw),Random Forest,0.65,0.6949394798264643,0.7181058677021411
undersampling_random,Double Chance 1X (Home or Draw),HistGradientBoosting (Early Stopping),0.6340425531914893,0.6729405003821768,0.7084064206152101
undersampling_random,Double Chance 1X (Home or Draw),XGBoost (L1/L2 Regularized),0.6326241134751773,0.6739427838924661,0.7058547149530912
undersampling_random,Double Chance 1X (Home or Draw),Neural Network (Dropout),0.6070921985815602,0.6476479275222221,0.6807818199910604
undersampling_random,Double Chance X2 (Away or Draw),Logistic Regression (Elastic Net),0.6354609929078014,0.7091809087399084,0.6494265488956776
undersampling_random,Double Chance X2 (Away or Draw),Random Forest,0.6273049645390071,0.6957983612086347,0.6430767479435243
undersampling_random,Double Chance X2 (Away or Draw),HistGradientBoosting (Early Stopping),0.6276595744680851,0.677842167541092,0.6447242795987624
undersampling_random,Double Chance X2 (Away or Draw),XGBoost (L1/L2 Regularized),0.6198581560283689,0.683645715705332,0.6353758382249403
undersampling_random,Double Chance X2 (Away or Draw),Neural Network (Dropout),0.6156028368794326,0.6571003936085615,0.6456895925947056
undersampling_random,Over 2.5 Goals,Logistic Regression (Elastic Net),0.5365248226950354,0.5556493147379349,0.5881020349358895
undersampling_random,Over 2.5 Goals,Random Forest,0.5304964539007093,0.54027085748727,0.5861140974774763
undersampling_random,Over 2.5 Goals,HistGradientBoosting (Early Stopping),0.548936170212766,0.5416657919999863,0.6077938087852471
