league,season,game,team,minute,score,player1,player2,event_type
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Aston Villa,21’,0:1,Danny Ings,,yellow_card
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Tottenham Hotspur,21’,0:1,Sergio Reguilón,Matt Doherty,substitute_in
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Tottenham Hotspur,29’,0:1,Pierre Højbjerg,,yellow_card
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Tottenham Hotspur,3’,0:1,Son Heung-min,,goal
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Tottenham Hotspur,50’,0:2,Dejan Kulusevski,Harry Kane,goal
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Tottenham Hotspur,66’,0:3,Son Heung-min,Harry Kane,goal
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Aston Villa,70’,0:3,Emi Buendía,Philippe Coutinho,substitute_in
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Aston Villa,70’,0:3,Leon Bailey,Danny Ings,substitute_in
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Tottenham Hotspur,71’,0:4,Son Heung-min,Dejan Kulusevski,goal
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Tottenham Hotspur,74’,0:4,Emerson,,yellow_card
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Tottenham Hotspur,78’,0:4,Lucas Moura,Son Heung-min,substitute_in
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Aston Villa,79’,0:4,Ashley Young,Lucas Digne,substitute_in
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Aston Villa,82’,0:4,Ashley Young,,yellow_card
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Tottenham Hotspur,84’,0:4,Steven Bergwijn,Dejan Kulusevski,substitute_in
ENG-Premier League,2122,2022-04-09 Aston Villa-Tottenham Hotspur,Tottenham Hotspur,90+1’,0:4,Harry Kane,,yellow_card
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Watford,10’,1:0,Emmanuel Dennis,,goal
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Watford,23’,1:0,Juraj Kucka,,yellow_card
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Watford,42’,2:0,Ismaila Sarr,Emmanuel Dennis,goal
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Aston Villa,46’,2:0,Jacob Ramsey,Matt Targett,substitute_in
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Aston Villa,54’,2:0,Tyrone Mings,,yellow_card
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Watford,55’,2:0,Ken Sema,,yellow_card
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Aston Villa,60’,2:0,Leon Bailey,Anwar El Ghazi,substitute_in
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Watford,66’,2:0,Cucho,Emmanuel Dennis,substitute_in
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Watford,67’,3:0,Cucho,Tom Cleverley,goal
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Watford,69’,3:0,Dan Gosling,Juraj Kucka,substitute_in
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Aston Villa,70’,3:1,John McGinn,Leon Bailey,goal
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Aston Villa,72’,3:1,Bertrand Traoré,Emi Buendía,substitute_in
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Watford,79’,3:1,Troy Deeney,Tom Cleverley,substitute_in
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Watford,86’,3:1,Oghenekaro Etebo,,yellow_card
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,Aston Villa,90+7’,3:2,Danny Ings,,penalty_goal
ENG-Premier League,2122,2022-04-10 Leicester City-Crystal Palace,Crystal Palace,32’,0:0,Tyrick Mitchell,,yellow_card
ENG-Premier League,2122,2022-04-10 Leicester City-Crystal Palace,Crystal Palace,34’,0:0,Joel Ward,Tyrick Mitchell,substitute_in
ENG-Premier League,2122,2022-04-10 Leicester City-Crystal Palace,Leicester City,39’,1:0,Ademola Lookman,Kiernan Dewsbury-Hall,goal
ENG-Premier League,2122,2022-04-10 Leicester City-Crystal Palace,Leicester City,45’,2:0,Kiernan Dewsbury-Hall,James Maddison,goal
ENG-Premier League,2122,2022-04-10 Leicester City-Crystal Palace,Crystal Palace,58’,2:0,Eberechi Eze,Conor Gallagher,substitute_in
ENG-Premier League,2122,2022-04-10 Leicester City-Crystal Palace,Crystal Palace,58’,2:0,James McArthur,Cheikhou Kouyaté,substitute_in
ENG-Premier League,2122,2022-04-10 Leicester City-Crystal Palace,Crystal Palace,65’,2:1,Wilfried Zaha,,goal
ENG-Premier League,2122,2022-04-10 Leicester City-Crystal Palace,Crystal Palace,65’,2:1,Wilfried Zaha,Kasper Schmeichel,penalty_miss
ENG-Premier League,2122,2022-04-10 Leicester City-Crystal Palace,Leicester City,67’,2:1,Luke Thomas,,yellow_card
ENG-Premier League,2122,2022-04-10 Leicester City-Crystal Palace,Leicester City,76’,2:1,Kelechi Iheanacho,Patson Daka,substitute_in
ENG-Premier League,2122,2022-04-10 Leicester City-Crystal Palace,Leicester City,77’,2:1,Harvey Barnes,Ademola Lookman,substitute_in
ENG-Premier League,2122,2022-04-10 Leicester City-Crystal Palace,Leicester City,89’,2:1,Timothy Castagne,James Maddison,substitute_in
ENG-Premier League,2122,2022-04-30 Watford-Burnley,Burnley,48’,1:0,James Tarkowski,,yellow_card
ENG-Premier League,2122,2022-04-30 Watford-Burnley,Burnley,60’,1:0,Ashley Barnes,Wout Weghorst,substitute_in
ENG-Premier League,2122,2022-04-30 Watford-Burnley,Burnley,83’,1:1,Jack Cork,Charlie Taylor,goal
ENG-Premier League,2122,2022-04-30 Watford-Burnley,Burnley,86’,1:2,Josh Brownhill,Matěj Vydra,goal
ENG-Premier League,2122,2022-04-30 Watford-Burnley,Watford,87’,1:2,Juraj Kucka,,yellow_card
ENG-Premier League,2122,2022-04-30 Watford-Burnley,Burnley,89’,1:2,Matthew Lowton,Aaron Lennon,substitute_in
ENG-Premier League,2122,2022-04-30 Watford-Burnley,Watford,8’,1:0,James Tarkowski,,own_goal
ENG-Premier League,2122,2022-04-30 Watford-Burnley,Burnley,90+1’,1:2,Nathan Collins,,yellow_card
ENG-Premier League,2122,2022-04-30 Watford-Burnley,Burnley,90+2’,1:2,Dale Stephens,Matěj Vydra,substitute_in
ENG-Premier League,2122,2022-03-13 West Ham United-Aston Villa,Aston Villa,10’,0:0,Ashley Young,Lucas Digne,substitute_in
ENG-Premier League,2122,2022-03-13 West Ham United-Aston Villa,West Ham United,44’,0:0,Manuel Lanzini,,yellow_card
ENG-Premier League,2122,2022-03-13 West Ham United-Aston Villa,West Ham United,52’,0:0,Andriy Yarmolenko,Michail Antonio,substitute_in
ENG-Premier League,2122,2022-03-13 West Ham United-Aston Villa,West Ham United,57’,0:0,Ryan Fredericks,Aaron Cresswell,substitute_in
ENG-Premier League,2122,2022-03-13 West Ham United-Aston Villa,Aston Villa,69’,0:0,Leon Bailey,Danny Ings,substitute_in
ENG-Premier League,2122,2022-03-13 West Ham United-Aston Villa,West Ham United,70’,1:0,Andriy Yarmolenko,Saïd Benrahma,goal
ENG-Premier League,2122,2022-03-13 West Ham United-Aston Villa,Aston Villa,79’,1:0,Emi Buendía,Douglas Luiz,substitute_in
ENG-Premier League,2122,2022-03-13 West Ham United-Aston Villa,West Ham United,82’,2:0,Pablo Fornals,Saïd Benrahma,goal
ENG-Premier League,2122,2022-03-13 West Ham United-Aston Villa,West Ham United,87’,2:0,Issa Diop,Saïd Benrahma,substitute_in
ENG-Premier League,2122,2022-03-13 West Ham United-Aston Villa,Aston Villa,90’,2:1,Jacob Ramsey,Emi Buendía,goal
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Crystal Palace,21’,0:1,Jean-Philippe Mateta,Eberechi Eze,goal
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Crystal Palace,32’,0:1,Will Hughes,,yellow_card
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Crystal Palace,34’,0:1,Jordan Ayew,,yellow_card
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Crystal Palace,36’,0:2,Jordan Ayew,,goal
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Everton,46’,0:2,Dele Alli,André Gomes,substitute_in
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Everton,54’,1:2,Michael Keane,Mason Holgate,goal
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Crystal Palace,57’,1:2,Luka Milivojević,Will Hughes,substitute_in
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Everton,61’,1:2,Demarai Gray,Anthony Gordon,substitute_in
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Everton,67’,1:2,Michael Keane,,yellow_card
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Crystal Palace,69’,1:2,Wilfried Zaha,,yellow_card
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Crystal Palace,74’,1:2,Conor Gallagher,Jeffrey Schlupp,substitute_in
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Everton,75’,2:2,Richarlison,,goal
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Crystal Palace,81’,2:2,Christian Benteke,Jean-Philippe Mateta,substitute_in
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Everton,82’,2:2,Abdoulaye Doucouré,,yellow_card
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Everton,85’,3:2,Dominic Calvert-Lewin,Demarai Gray,goal
ENG-Premier League,2122,2022-05-19 Everton-Crystal Palace,Everton,90+1’,3:2,Jonjoe Kenny,Richarlison,substitute_in
ENG-Premier League,2122,2021-09-18 Norwich City-Watford,Watford,17’,0:1,Emmanuel Dennis,Kiko Femenía,goal
ENG-Premier League,2122,2021-09-18 Norwich City-Watford,Norwich City,35’,1:1,Teemu Pukki,Mathias Normann,goal
ENG-Premier League,2122,2021-09-18 Norwich City-Watford,Watford,37’,1:1,Craig Cathcart,,yellow_card
ENG-Premier League,2122,2021-09-18 Norwich City-Watford,Watford,59’,1:1,Jeremy Ngakia,Kiko Femenía,substitute_in
ENG-Premier League,2122,2021-09-18 Norwich City-Watford,Watford,63’,1:2,Ismaila Sarr,Joshua King,goal
ENG-Premier League,2122,2021-09-18 Norwich City-Watford,Norwich City,70’,1:2,Christos Tzolis,Josh Sargent,substitute_in
ENG-Premier League,2122,2021-09-18 Norwich City-Watford,Norwich City,70’,1:2,Todd Cantwell,Mathias Normann,substitute_in
ENG-Premier League,2122,2021-09-18 Norwich City-Watford,Watford,73’,1:2,Ken Sema,Emmanuel Dennis,substitute_in
ENG-Premier League,2122,2021-09-18 Norwich City-Watford,Watford,80’,1:3,Ismaila Sarr,,goal
ENG-Premier League,2122,2021-09-18 Norwich City-Watford,Watford,82’,1:3,Oghenekaro Etebo,Tom Cleverley,substitute_in
ENG-Premier League,2122,2021-09-18 Norwich City-Watford,Norwich City,88’,1:3,Adam Idah,Milot Rashica,substitute_in
ENG-Premier League,2122,2021-09-18 Norwich City-Watford,Norwich City,90+5’,1:3,Brandon Williams,,yellow_card
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Everton,45+1’,0:0,André Gomes,,yellow_card
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Aston Villa,45+3’,0:1,Emi Buendía,Lucas Digne,goal
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Everton,50’,0:1,Dominic Calvert-Lewin,,yellow_card
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Everton,51’,0:1,Allan,André Gomes,substitute_in
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Everton,56’,0:1,Anthony Gordon,Andros Townsend,substitute_in
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Everton,58’,0:1,Yerry Mina,,yellow_card
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Everton,65’,0:1,Tyler Onyango,Abdoulaye Doucouré,substitute_in
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Aston Villa,69’,0:1,Emiliano Martínez,,yellow_card
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Aston Villa,74’,0:1,Carney Chukwuemeka,Philippe Coutinho,substitute_in
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Aston Villa,75’,0:1,Matty Cash,,yellow_card
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Aston Villa,79’,0:1,Danny Ings,Ollie Watkins,substitute_in
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Everton,82’,0:1,Allan,,yellow_card
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Everton,83’,0:1,Ben Godfrey,,yellow_card
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Aston Villa,86’,0:1,Tyrone Mings,,yellow_card
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Aston Villa,90+1’,0:1,Kortney Hause,Emi Buendía,substitute_in
ENG-Premier League,2122,2022-01-22 Everton-Aston Villa,Aston Villa,90+3’,0:1,Danny Ings,,yellow_card
ENG-Premier League,2122,2021-12-26 Norwich City-Arsenal,Arsenal,39’,0:1,Granit Xhaka,,yellow_card
ENG-Premier League,2122,2021-12-26 Norwich City-Arsenal,Norwich City,41’,0:1,Przemysław Płacheta,,yellow_card
ENG-Premier League,2122,2021-12-26 Norwich City-Arsenal,Arsenal,44’,0:2,Kieran Tierney,Martin Ødegaard,goal
ENG-Premier League,2122,2021-12-26 Norwich City-Arsenal,Arsenal,62’,0:2,Thomas Partey,,yellow_card
ENG-Premier League,2122,2021-12-26 Norwich City-Arsenal,Norwich City,66’,0:2,Pierre Lees-Melou,Kieran Dowell,substitute_in
ENG-Premier League,2122,2021-12-26 Norwich City-Arsenal,Arsenal,67’,0:3,Bukayo Saka,Alexandre Lacazette,goal
ENG-Premier League,2122,2021-12-26 Norwich City-Arsenal,Arsenal,6’,0:1,Bukayo Saka,Martin Ødegaard,goal
ENG-Premier League,2122,2021-12-26 Norwich City-Arsenal,Norwich City,72’,0:3,Adam Idah,Josh Sargent,substitute_in
ENG-Premier League,2122,2021-12-26 Norwich City-Arsenal,Norwich City,75’,0:3,Christos Tzolis,Przemysław Płacheta,substitute_in
ENG-Premier League,2122,2021-12-26 Norwich City-Arsenal,Arsenal,75’,0:3,Mohamed Elneny,Thomas Partey,substitute_in
ENG-Premier League,2122,2021-12-26 Norwich City-Arsenal,Arsenal,78’,0:3,Nicolas Pépé,Bukayo Saka,substitute_in
ENG-Premier League,2122,2021-12-26 Norwich City-Arsenal,Arsenal,82’,0:3,Emile Smith Rowe,Gabriel Martinelli,substitute_in
ENG-Premier League,2122,2021-12-26 Norwich City-Arsenal,Arsenal,84’,0:4,Alexandre Lacazette,,penalty_goal
ENG-Premier League,2122,2021-12-26 Norwich City-Arsenal,Arsenal,90+1’,0:5,Emile Smith Rowe,,goal
ENG-Premier League,2122,2022-01-23 Arsenal-Burnley,Burnley,25’,0:0,Ashley Westwood,,yellow_card
ENG-Premier League,2122,2022-01-23 Arsenal-Burnley,Burnley,30’,0:0,Josh Brownhill,,yellow_card
ENG-Premier League,2122,2022-01-23 Arsenal-Burnley,Arsenal,77’,0:0,Eddie Nketiah,Emile Smith Rowe,substitute_in
ENG-Premier League,2122,2022-01-23 Arsenal-Burnley,Burnley,83’,0:0,Jóhann Berg Guðmundsson,Jay Rodriguez,substitute_in
ENG-Premier League,2122,2022-04-10 Norwich City-Burnley,Norwich City,26’,1:0,Pierre Lees-Melou,,yellow_card
ENG-Premier League,2122,2022-04-10 Norwich City-Burnley,Burnley,56’,1:0,Matěj Vydra,Wout Weghorst,substitute_in
ENG-Premier League,2122,2022-04-10 Norwich City-Burnley,Burnley,64’,1:0,Dwight McNeil,Aaron Lennon,substitute_in
ENG-Premier League,2122,2022-04-10 Norwich City-Burnley,Norwich City,69’,1:0,Lukas Rupp,Pierre Lees-Melou,substitute_in
ENG-Premier League,2122,2022-04-10 Norwich City-Burnley,Burnley,78’,1:0,Charlie Taylor,,yellow_card
ENG-Premier League,2122,2022-04-10 Norwich City-Burnley,Norwich City,84’,1:0,Brandon Williams,Dimitris Giannoulis,substitute_in
ENG-Premier League,2122,2022-04-10 Norwich City-Burnley,Burnley,84’,1:0,Ashley Barnes,Jay Rodriguez,substitute_in
ENG-Premier League,2122,2022-04-10 Norwich City-Burnley,Norwich City,86’,2:0,Teemu Pukki,Mathias Normann,goal
ENG-Premier League,2122,2022-04-10 Norwich City-Burnley,Norwich City,89’,2:0,Christos Tzolis,Teemu Pukki,substitute_in
ENG-Premier League,2122,2022-04-10 Norwich City-Burnley,Norwich City,9’,1:0,Pierre Lees-Melou,,goal
ENG-Premier League,2122,2021-10-16 Brentford-Chelsea,Chelsea,18’,0:0,Mateo Kovačić,,yellow_card
ENG-Premier League,2122,2021-10-16 Brentford-Chelsea,Brentford,32’,0:0,Sergi Canós,,yellow_card
ENG-Premier League,2122,2021-10-16 Brentford-Chelsea,Chelsea,45’,0:1,Ben Chilwell,,goal
ENG-Premier League,2122,2021-10-16 Brentford-Chelsea,Chelsea,65’,0:1,Mason Mount,Mateo Kovačić,substitute_in
ENG-Premier League,2122,2021-10-16 Brentford-Chelsea,Brentford,67’,0:1,Marcus Forss,Frank Onyeka,substitute_in
ENG-Premier League,2122,2021-10-16 Brentford-Chelsea,Brentford,72’,0:1,Saman Ghoddos,Sergi Canós,substitute_in
ENG-Premier League,2122,2021-10-16 Brentford-Chelsea,Chelsea,76’,0:1,Kai Havertz,Romelu Lukaku,substitute_in
ENG-Premier League,2122,2021-10-16 Brentford-Chelsea,Chelsea,89’,0:1,Reece James,César Azpilicueta,substitute_in
ENG-Premier League,2122,2021-11-05 Southampton-Aston Villa,Aston Villa,11’,1:0,Anwar El Ghazi,,yellow_card
ENG-Premier League,2122,2021-11-05 Southampton-Aston Villa,Southampton,3’,1:0,Adam Armstrong,,goal
ENG-Premier League,2122,2021-11-05 Southampton-Aston Villa,Southampton,56’,1:0,Lyanco,Stuart Armstrong,substitute_in
ENG-Premier League,2122,2021-11-05 Southampton-Aston Villa,Southampton,62’,1:0,Oriol Romeu,,yellow_card
ENG-Premier League,2122,2021-11-05 Southampton-Aston Villa,Aston Villa,63’,1:0,Jacob Ramsey,Marvelous Nakamba,substitute_in
ENG-Premier League,2122,2021-11-05 Southampton-Aston Villa,Aston Villa,65’,1:0,Axel Tuanzebe,,yellow_card
ENG-Premier League,2122,2021-11-05 Southampton-Aston Villa,Aston Villa,71’,1:0,Cameron Archer,Emi Buendía,substitute_in
ENG-Premier League,2122,2021-11-05 Southampton-Aston Villa,Southampton,76’,1:0,Ibrahima Diallo,Mohamed Elyounoussi,substitute_in
ENG-Premier League,2122,2021-11-05 Southampton-Aston Villa,Aston Villa,79’,1:0,Keinan Davis,Anwar El Ghazi,substitute_in
ENG-Premier League,2122,2021-11-05 Southampton-Aston Villa,Southampton,81’,1:0,Armando Broja,Adam Armstrong,substitute_in
ENG-Premier League,2122,2021-11-05 Southampton-Aston Villa,Southampton,90+1’,1:0,Mohammed Salisu,,yellow_card
ENG-Premier League,2122,2021-08-29 Wolves-Manchester Utd,Manchester United,44’,0:0,Bruno Fernandes,,yellow_card
ENG-Premier League,2122,2021-08-29 Wolves-Manchester Utd,Manchester United,53’,0:0,Edinson Cavani,Daniel James,substitute_in
ENG-Premier League,2122,2021-08-29 Wolves-Manchester Utd,Wolverhampton Wanderers,70’,0:0,Daniel Podence,Francisco Trincão,substitute_in
ENG-Premier League,2122,2021-08-29 Wolves-Manchester Utd,Manchester United,72’,0:0,Anthony Martial,Jadon Sancho,substitute_in
ENG-Premier League,2122,2021-08-29 Wolves-Manchester Utd,Manchester United,80’,0:1,Mason Greenwood,Raphaël Varane,goal
ENG-Premier League,2122,2021-08-29 Wolves-Manchester Utd,Wolverhampton Wanderers,81’,0:1,Rúben Neves,,yellow_card
ENG-Premier League,2122,2021-08-29 Wolves-Manchester Utd,Wolverhampton Wanderers,84’,0:1,Romain Saïss,,yellow_card
ENG-Premier League,2122,2021-08-29 Wolves-Manchester Utd,Manchester United,84’,0:1,Fred,,yellow_card
ENG-Premier League,2122,2021-08-29 Wolves-Manchester Utd,Wolverhampton Wanderers,87’,0:1,Morgan Gibbs-White,Conor Coady,substitute_in
ENG-Premier League,2122,2021-08-29 Wolves-Manchester Utd,Wolverhampton Wanderers,87’,0:1,Fábio Silva,Adama Traoré,substitute_in
ENG-Premier League,2122,2021-08-29 Wolves-Manchester Utd,Wolverhampton Wanderers,90+2’,0:1,Morgan Gibbs-White,,yellow_card
ENG-Premier League,2122,2021-08-29 Wolves-Manchester Utd,Manchester United,90+3’,0:1,Paul Pogba,,yellow_card
ENG-Premier League,2122,2021-08-29 Wolves-Manchester Utd,Manchester United,90+3’,0:1,Diogo Dalot,,yellow_card
ENG-Premier League,2122,2021-08-29 Wolves-Manchester Utd,Manchester United,90’,0:1,Diogo Dalot,Mason Greenwood,substitute_in
ENG-Premier League,2122,2021-09-25 Brentford-Liverpool,Brentford,27’,1:0,Ethan Pinnock,Ivan Toney,goal
ENG-Premier League,2122,2021-09-25 Brentford-Liverpool,Liverpool,31’,1:1,Diogo Jota,Jordan Henderson,goal
ENG-Premier League,2122,2021-09-25 Brentford-Liverpool,Brentford,43’,1:1,Mathias Jørgensen,Ethan Pinnock,substitute_in
ENG-Premier League,2122,2021-09-25 Brentford-Liverpool,Brentford,44’,1:1,Frank Onyeka,,yellow_card
ENG-Premier League,2122,2021-09-25 Brentford-Liverpool,Liverpool,54’,1:2,Mohamed Salah,Fabinho,goal
ENG-Premier League,2122,2021-09-25 Brentford-Liverpool,Brentford,63’,2:2,Vitaly Janelt,,goal
ENG-Premier League,2122,2021-09-25 Brentford-Liverpool,Liverpool,67’,2:3,Curtis Jones,Andrew Robertson,goal
ENG-Premier League,2122,2021-09-25 Brentford-Liverpool,Brentford,68’,2:3,Shandon Baptiste,Frank Onyeka,substitute_in
ENG-Premier League,2122,2021-09-25 Brentford-Liverpool,Liverpool,68’,2:3,Roberto Firmino,Curtis Jones,substitute_in
ENG-Premier League,2122,2021-09-25 Brentford-Liverpool,Liverpool,70’,2:3,Andrew Robertson,,yellow_card
ENG-Premier League,2122,2021-09-25 Brentford-Liverpool,Brentford,78’,2:3,Yoane Wissa,Christian Nørgaard,substitute_in
ENG-Premier League,2122,2021-09-25 Brentford-Liverpool,Brentford,82’,3:3,Yoane Wissa,,goal
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Leicester City,11’,0:0,Timothy Castagne,,yellow_card
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Newcastle United,24’,0:0,Jamal Lewis,,yellow_card
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Leicester City,38’,1:0,Youri Tielemans,,penalty_goal
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Leicester City,57’,2:0,Patson Daka,Harvey Barnes,goal
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Newcastle United,62’,2:0,Ryan Fraser,Miguel Almirón,substitute_in
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Newcastle United,62’,2:0,Jacob Murphy,Jamal Lewis,substitute_in
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Leicester City,64’,2:0,Çağlar Söyüncü,,yellow_card
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Leicester City,6’,0:0,Boubakary Soumaré,Jonny Evans,substitute_in
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Newcastle United,70’,2:0,Javier Manquillo,,yellow_card
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Leicester City,71’,2:0,Marc Albrighton,Harvey Barnes,substitute_in
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Leicester City,81’,3:0,Youri Tielemans,James Maddison,goal
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Leicester City,85’,4:0,James Maddison,Patson Daka,goal
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Newcastle United,85’,4:0,Matt Ritchie,Jonjo Shelvey,substitute_in
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Leicester City,88’,4:0,Kasey McAteer,James Maddison,substitute_in
ENG-Premier League,2122,2021-12-12 Leicester City-Newcastle United,Newcastle United,90’,4:0,Allan Saint-Maximin,,yellow_card
ENG-Premier League,2122,2021-11-20 Aston Villa-Brighton,Brighton & Hove Albion,49’,0:0,Marc Cucurella,,yellow_card
ENG-Premier League,2122,2021-11-20 Aston Villa-Brighton,Aston Villa,59’,0:0,Marvelous Nakamba,,yellow_card
ENG-Premier League,2122,2021-11-20 Aston Villa-Brighton,Brighton & Hove Albion,64’,0:0,Solly March,Marc Cucurella,substitute_in
ENG-Premier League,2122,2021-11-20 Aston Villa-Brighton,Aston Villa,66’,0:0,Leon Bailey,Danny Ings,substitute_in
ENG-Premier League,2122,2021-11-20 Aston Villa-Brighton,Brighton & Hove Albion,67’,0:0,Adam Webster,,yellow_card
ENG-Premier League,2122,2021-11-20 Aston Villa-Brighton,Aston Villa,74’,0:0,Ashley Young,Emi Buendía,substitute_in
ENG-Premier League,2122,2021-11-20 Aston Villa-Brighton,Brighton & Hove Albion,79’,0:0,Neal Maupay,Tariq Lamptey,substitute_in
ENG-Premier League,2122,2021-11-20 Aston Villa-Brighton,Aston Villa,84’,1:0,Ollie Watkins,Ashley Young,goal
ENG-Premier League,2122,2021-11-20 Aston Villa-Brighton,Aston Villa,84’,1:0,Anwar El Ghazi,Jacob Ramsey,substitute_in
ENG-Premier League,2122,2021-11-20 Aston Villa-Brighton,Brighton & Hove Albion,88’,1:0,Alexis Mac Allister,Pascal Groß,substitute_in
ENG-Premier League,2122,2021-11-20 Aston Villa-Brighton,Aston Villa,89’,2:0,Tyrone Mings,,goal
ENG-Premier League,2122,2021-11-20 Aston Villa-Brighton,Aston Villa,90+3’,2:0,Ezri Konsa,,yellow_card
ENG-Premier League,2122,2021-11-20 Aston Villa-Brighton,Brighton & Hove Albion,90+3’,2:0,Alexis Mac Allister,,yellow_card
ENG-Premier League,2122,2021-11-20 Aston Villa-Brighton,Aston Villa,90+4’,2:0,Matty Cash,,yellow_card
ENG-Premier League,2122,2022-04-17 Newcastle United-Leicester City,Leicester City,19’,0:1,Ademola Lookman,Ayoze Pérez,goal
ENG-Premier League,2122,2022-04-17 Newcastle United-Leicester City,Leicester City,1’,0:0,Daniel Amartey,,yellow_card
ENG-Premier League,2122,2022-04-17 Newcastle United-Leicester City,Newcastle United,30’,1:1,Bruno Guimarães,,goal
ENG-Premier League,2122,2022-04-17 Newcastle United-Leicester City,Leicester City,60’,1:1,James Maddison,Ayoze Pérez,substitute_in
ENG-Premier League,2122,2022-04-17 Newcastle United-Leicester City,Leicester City,66’,1:1,Harvey Barnes,Ademola Lookman,substitute_in
ENG-Premier League,2122,2022-04-17 Newcastle United-Leicester City,Newcastle United,69’,1:1,Joe Willock,Chris Wood,substitute_in
ENG-Premier League,2122,2022-04-17 Newcastle United-Leicester City,Newcastle United,70’,1:1,Jacob Murphy,Miguel Almirón,substitute_in
